sale,SKU,date,quantity_sold,brand,price,cost,store,revenue,profit
122,HL1009,1/5/2018,5,Motorola,1400,910,Curitiba,7000,2450
123,HL1008,1/5/2018,2,Philco,2000,1020,São Paulo,4000,1960
124,HL1008,1/5/2018,3,Philco,2000,1120,Rio de Janeiro,6000,2640
125,HL1004,1/5/2018,3,Apple,1750,1210,São Paulo,5250,1620
126,HL1008,1/5/2018,3,Philco,2000,840,Recife,6000,3480
127,HL1013,1/5/2018,5,Nikon,1550,960,Belo Horizonte,7750,2950
128,HL1010,1/5/2018,5,Apple,1900,970,São Paulo,9500,4650
129,HL1012,1/5/2018,3,Dell,5500,2310,Recife,16500,9570
130,HL1002,1/5/2018,2,Apple,2500,1050,Fortaleza,5000,2900
131,HL1012,1/5/2018,2,Dell,5500,3300,Nova Iguaçu,11000,4400
132,HL1007,1/5/2018,5,Dell,2300,1240,Niterói,11500,5300
133,HL1023,1/5/2018,2,Samsung,1500,890,Rio de Janeiro,3000,1220
134,HL1015,1/5/2018,5,Sony,700,390,Fortaleza,3500,1550
135,HL1001,1/5/2018,5,LG,2600,1660,Porto Alegre,13000,4700
136,HL1020,1/5/2018,1,Motorola,1500,750,Fortaleza,1500,750
137,HL1024,1/5/2018,1,Acer,2400,1560,Rio de Janeiro,2400,840
138,HL1002,1/5/2018,1,Apple,2500,1650,Belo Horizonte,2500,850
139,HL1011,1/5/2018,5,Samsung,2000,1180,Rio de Janeiro,10000,4100
140,HL1001,1/5/2018,1,LG,2600,1740,Goiânia,2600,860
141,HL1008,1/5/2018,4,Philco,2000,1340,Belo Horizonte,8000,2640
142,HL1010,1/5/2018,1,Apple,1900,1060,Fortaleza,1900,840
143,HL1006,1/5/2018,2,Samsung,1400,780,Nova Iguaçu,2800,1240
144,HL1021,1/5/2018,4,Samsung,3000,1380,São Paulo,12000,6480
145,HL1019,1/5/2018,3,Apple,6500,2600,Salvador,19500,11700
146,HL1019,1/5/2018,3,Apple,6500,3120,Salvador,19500,10140
147,HL1021,1/5/2018,5,Samsung,3000,1470,Recife,15000,7650
148,HL1007,1/5/2018,2,Dell,2300,1400,Belo Horizonte,4600,1800
149,HL1007,1/5/2018,4,Dell,2300,1360,Belo Horizonte,9200,3760
150,HL1009,1/5/2018,5,Motorola,1400,850,Recife,7000,2750
151,HL1006,1/5/2018,1,Samsung,1400,620,Recife,1400,780
152,HL1005,1/5/2018,2,Canon,1500,740,São Paulo,3000,1520
153,HL1002,1/5/2018,5,Apple,2500,1750,Curitiba,12500,3750
154,HL1011,1/5/2018,4,Samsung,2000,1340,Fortaleza,8000,2640
155,HL1024,1/5/2018,2,Acer,2400,1510,Rio de Janeiro,4800,1780
156,HL1008,1/5/2018,2,Philco,2000,900,Goiânia,4000,2200
157,HL1003,1/5/2018,3,Samsung,4500,2340,Recife,13500,6480
158,HL1007,1/5/2018,3,Dell,2300,1150,Belo Horizonte,6900,3450
159,HL1024,1/5/2018,1,Acer,2400,1630,Salvador,2400,770
160,HL1009,1/5/2018,3,Motorola,1400,940,Recife,4200,1380
161,HL1018,1/5/2018,4,Xiaomi,1200,490,Recife,4800,2840
162,HL1005,1/5/2018,5,Canon,1500,890,Porto Alegre,7500,3050
163,HL1008,1/5/2018,3,Philco,2000,900,São Paulo,6000,3300
164,HL1013,1/5/2018,4,Nikon,1550,1040,Porto Alegre,6200,2040
165,HL1001,1/5/2018,4,LG,2600,1250,Belo Horizonte,10400,5400
166,HL1018,1/5/2018,1,Xiaomi,1200,670,Recife,1200,530
167,HL1009,1/6/2018,3,Motorola,1400,620,Belo Horizonte,4200,2340
168,HL1022,1/6/2018,2,Apple,750,440,Belo Horizonte,1500,620
169,HL1023,1/6/2018,2,Samsung,1500,660,Belo Horizonte,3000,1680
170,HL1020,1/6/2018,5,Motorola,1500,1010,Nova Iguaçu,7500,2450
171,HL1007,1/6/2018,5,Dell,2300,1060,Salvador,11500,6200
172,HL1021,1/6/2018,1,Samsung,3000,1320,Fortaleza,3000,1680
173,HL1017,1/6/2018,5,Samsung,5200,2810,São Paulo,26000,11950
174,HL1009,1/6/2018,4,Motorola,1400,670,Rio de Janeiro,5600,2920
175,HL1007,1/6/2018,3,Dell,2300,920,São Paulo,6900,4140
176,HL1001,1/6/2018,3,LG,2600,1140,Rio de Janeiro,7800,4380
177,HL1013,1/6/2018,3,Nikon,1550,810,Belo Horizonte,4650,2220
178,HL1005,1/6/2018,2,Canon,1500,750,Campinas,3000,1500
179,HL1013,1/6/2018,4,Nikon,1550,710,Guarulhos,6200,3360
180,HL1001,1/6/2018,5,LG,2600,1790,Fortaleza,13000,4050
181,HL1001,1/6/2018,5,LG,2600,1400,Rio de Janeiro,13000,6000
182,HL1003,1/6/2018,5,Samsung,4500,1890,Goiânia,22500,13050
183,HL1015,1/6/2018,2,Sony,700,460,São Paulo,1400,480
184,HL1015,1/6/2018,3,Sony,700,420,Campinas,2100,840
185,HL1015,1/6/2018,4,Sony,700,320,São Paulo,2800,1520
186,HL1009,1/6/2018,4,Motorola,1400,910,São Paulo,5600,1960
187,HL1012,1/6/2018,1,Dell,5500,2370,Rio de Janeiro,5500,3130
188,HL1001,1/6/2018,4,LG,2600,1270,Nova Iguaçu,10400,5320
189,HL1008,1/6/2018,4,Philco,2000,960,São Paulo,8000,4160
190,HL1009,1/6/2018,1,Motorola,1400,700,Salvador,1400,700
191,HL1020,1/6/2018,2,Motorola,1500,1020,Rio de Janeiro,3000,960
192,HL1005,1/6/2018,3,Canon,1500,810,Recife,4500,2070
193,HL1019,1/6/2018,3,Apple,6500,2990,São Paulo,19500,10530
194,HL1009,1/6/2018,3,Motorola,1400,630,Fortaleza,4200,2310
195,HL1015,1/6/2018,5,Sony,700,350,São Paulo,3500,1750
196,HL1009,1/6/2018,2,Motorola,1400,880,Goiânia,2800,1040
197,HL1018,1/6/2018,5,Xiaomi,1200,730,Recife,6000,2350
198,HL1015,1/6/2018,3,Sony,700,360,Fortaleza,2100,1020
199,HL1008,1/6/2018,1,Philco,2000,1140,Niterói,2000,860
200,HL1003,1/6/2018,2,Samsung,4500,2030,Fortaleza,9000,4940
201,HL1015,1/7/2018,3,Sony,700,400,Curitiba,2100,900
202,HL1001,1/7/2018,3,LG,2600,1220,Recife,7800,4140
203,HL1002,1/7/2018,5,Apple,2500,1050,Curitiba,12500,7250
204,HL1018,1/7/2018,2,Xiaomi,1200,610,Salvador,2400,1180
205,HL1019,1/7/2018,2,Apple,6500,2930,Fortaleza,13000,7140
206,HL1003,1/7/2018,4,Samsung,4500,1890,São Paulo,18000,10440
207,HL1014,1/7/2018,3,Samsung,1100,550,Belo Horizonte,3300,1650
208,HL1015,1/7/2018,2,Sony,700,370,Salvador,1400,660
209,HL1007,1/7/2018,3,Dell,2300,1200,Fortaleza,6900,3300
210,HL1008,1/7/2018,5,Philco,2000,920,Nova Iguaçu,10000,5400
211,HL1019,1/7/2018,1,Apple,6500,4420,Fortaleza,6500,2080
212,HL1015,1/7/2018,3,Sony,700,370,Rio de Janeiro,2100,990
213,HL1013,1/7/2018,1,Nikon,1550,710,Fortaleza,1550,840
214,HL1019,1/7/2018,3,Apple,6500,3580,São Paulo,19500,8760
215,HL1013,1/7/2018,3,Nikon,1550,780,Fortaleza,4650,2310
216,HL1023,1/7/2018,3,Samsung,1500,960,Fortaleza,4500,1620
217,HL1009,1/7/2018,1,Motorola,1400,640,Belo Horizonte,1400,760
218,HL1012,1/7/2018,3,Dell,5500,2370,Rio de Janeiro,16500,9390
219,HL1003,1/7/2018,3,Samsung,4500,2610,Niterói,13500,5670
220,HL1015,1/7/2018,5,Sony,700,330,Rio de Janeiro,3500,1850
221,HL1008,1/7/2018,1,Philco,2000,800,Rio de Janeiro,2000,1200
222,HL1008,1/7/2018,5,Philco,2000,920,São Paulo,10000,5400
223,HL1008,1/7/2018,3,Philco,2000,940,Salvador,6000,3180
224,HL1012,1/7/2018,3,Dell,5500,2750,São Paulo,16500,8250
225,HL1005,1/7/2018,4,Canon,1500,800,Rio de Janeiro,6000,2800
226,HL1001,1/7/2018,5,LG,2600,1560,São Paulo,13000,5200
227,HL1003,1/7/2018,4,Samsung,4500,3020,Salvador,18000,5920
228,HL1008,1/7/2018,2,Philco,2000,1180,Belo Horizonte,4000,1640
229,HL1013,1/7/2018,1,Nikon,1550,850,Salvador,1550,700
230,HL1018,1/7/2018,3,Xiaomi,1200,610,São Paulo,3600,1770
231,HL1004,1/7/2018,3,Apple,1750,1190,São Paulo,5250,1680
232,HL1017,1/7/2018,5,Samsung,5200,2600,Goiânia,26000,13000
233,HL1009,1/7/2018,3,Motorola,1400,670,Curitiba,4200,2190
234,HL1023,1/7/2018,1,Samsung,1500,980,Recife,1500,520
235,HL1019,1/7/2018,2,Apple,6500,2670,Rio de Janeiro,13000,7660
236,HL1003,1/7/2018,5,Samsung,4500,2610,Curitiba,22500,9450
237,HL1015,1/7/2018,3,Sony,700,490,Fortaleza,2100,630
238,HL1005,1/7/2018,1,Canon,1500,870,Salvador,1500,630
239,HL1009,1/8/2018,2,Motorola,1400,710,Recife,2800,1380
240,HL1001,1/8/2018,5,LG,2600,1660,Recife,13000,4700
241,HL1011,1/8/2018,3,Samsung,2000,1120,Recife,6000,2640
242,HL1018,1/8/2018,5,Xiaomi,1200,780,Salvador,6000,2100
243,HL1010,1/8/2018,3,Apple,1900,970,Curitiba,5700,2790
244,HL1018,1/8/2018,4,Xiaomi,1200,710,Rio de Janeiro,4800,1960
245,HL1021,1/8/2018,2,Samsung,3000,1800,Salvador,6000,2400
246,HL1009,1/8/2018,3,Motorola,1400,760,São Paulo,4200,1920
247,HL1001,1/8/2018,1,LG,2600,1770,Fortaleza,2600,830
248,HL1013,1/8/2018,5,Nikon,1550,710,Recife,7750,4200
249,HL1005,1/8/2018,5,Canon,1500,800,Fortaleza,7500,3500
250,HL1018,1/8/2018,2,Xiaomi,1200,840,São Paulo,2400,720
251,HL1007,1/8/2018,1,Dell,2300,1400,Rio de Janeiro,2300,900
252,HL1023,1/8/2018,2,Samsung,1500,830,Rio de Janeiro,3000,1340
253,HL1005,1/8/2018,4,Canon,1500,660,São Paulo,6000,3360
254,HL1021,1/8/2018,3,Samsung,3000,1860,Porto Alegre,9000,3420
255,HL1004,1/8/2018,3,Apple,1750,1090,Curitiba,5250,1980
256,HL1012,1/8/2018,4,Dell,5500,3250,São Paulo,22000,9000
257,HL1012,1/8/2018,3,Dell,5500,3850,Salvador,16500,4950
258,HL1008,1/8/2018,2,Philco,2000,1020,Fortaleza,4000,1960
259,HL1007,1/8/2018,4,Dell,2300,1130,Salvador,9200,4680
260,HL1016,1/8/2018,1,Samsung,1450,680,Recife,1450,770
261,HL1015,1/8/2018,3,Sony,700,450,São Paulo,2100,750
262,HL1005,1/8/2018,5,Canon,1500,680,Belo Horizonte,7500,4100
263,HL1009,1/8/2018,2,Motorola,1400,970,São Paulo,2800,860
264,HL1005,1/8/2018,1,Canon,1500,890,São Paulo,1500,610
265,HL1020,1/8/2018,5,Motorola,1500,930,Fortaleza,7500,2850
266,HL1015,1/8/2018,3,Sony,700,480,Rio de Janeiro,2100,660
267,HL1015,1/8/2018,2,Sony,700,470,Porto Alegre,1400,460
268,HL1005,1/8/2018,3,Canon,1500,860,Rio de Janeiro,4500,1920
269,HL1009,1/8/2018,1,Motorola,1400,850,Porto Alegre,1400,550
270,HL1019,1/9/2018,2,Apple,6500,3380,São Paulo,13000,6240
271,HL1018,1/9/2018,2,Xiaomi,1200,790,Rio de Janeiro,2400,820
272,HL1001,1/9/2018,1,LG,2600,1330,Goiânia,2600,1270
273,HL1013,1/9/2018,1,Nikon,1550,640,Salvador,1550,910
274,HL1007,1/9/2018,4,Dell,2300,1080,Nova Iguaçu,9200,4880
275,HL1005,1/9/2018,2,Canon,1500,920,Rio de Janeiro,3000,1160
276,HL1015,1/9/2018,3,Sony,700,360,Goiânia,2100,1020
277,HL1015,1/9/2018,3,Sony,700,360,Campinas,2100,1020
278,HL1009,1/9/2018,3,Motorola,1400,710,Salvador,4200,2070
279,HL1007,1/9/2018,2,Dell,2300,1500,Rio de Janeiro,4600,1600
280,HL1024,1/9/2018,2,Acer,2400,1130,São Paulo,4800,2540
281,HL1008,1/9/2018,5,Philco,2000,1360,Belo Horizonte,10000,3200
282,HL1003,1/9/2018,5,Samsung,4500,2790,São Paulo,22500,8550
283,HL1023,1/9/2018,4,Samsung,1500,840,Recife,6000,2640
284,HL1015,1/9/2018,5,Sony,700,430,Rio de Janeiro,3500,1350
285,HL1010,1/9/2018,5,Apple,1900,1200,Recife,9500,3500
286,HL1003,1/9/2018,1,Samsung,4500,2210,São Paulo,4500,2290
287,HL1009,1/9/2018,4,Motorola,1400,950,São Paulo,5600,1800
288,HL1021,1/9/2018,2,Samsung,3000,1410,Nova Iguaçu,6000,3180
289,HL1023,1/9/2018,1,Samsung,1500,890,Salvador,1500,610
290,HL1012,1/9/2018,2,Dell,5500,3690,Fortaleza,11000,3620
291,HL1009,1/9/2018,2,Motorola,1400,640,São Paulo,2800,1520
292,HL1002,1/9/2018,4,Apple,2500,1150,São Paulo,10000,5400
293,HL1002,1/9/2018,5,Apple,2500,1200,São Paulo,12500,6500
294,HL1005,1/9/2018,4,Canon,1500,630,Rio de Janeiro,6000,3480
295,HL1005,1/9/2018,4,Canon,1500,960,Nova Iguaçu,6000,2160
296,HL1012,1/9/2018,4,Dell,5500,2970,Niterói,22000,10120
297,HL1001,1/9/2018,3,LG,2600,1090,Salvador,7800,4530
298,HL1007,1/9/2018,5,Dell,2300,1560,Recife,11500,3700
299,HL1001,1/9/2018,4,LG,2600,1610,Curitiba,10400,3960
300,HL1002,1/9/2018,2,Apple,2500,1480,Fortaleza,5000,2040
301,HL1015,1/9/2018,1,Sony,700,380,Porto Alegre,700,320
302,HL1011,1/9/2018,3,Samsung,2000,800,São Paulo,6000,3600
303,HL1001,1/9/2018,2,LG,2600,1070,Curitiba,5200,3060
304,HL1001,1/9/2018,2,LG,2600,1510,Salvador,5200,2180
305,HL1015,1/9/2018,2,Sony,700,410,Guarulhos,1400,580
306,HL1007,1/9/2018,2,Dell,2300,1360,São Paulo,4600,1880
307,HL1009,1/9/2018,4,Motorola,1400,830,São Paulo,5600,2280
308,HL1017,1/9/2018,3,Samsung,5200,2080,Guarulhos,15600,9360
309,HL1005,1/9/2018,2,Canon,1500,770,Campinas,3000,1460
310,HL1010,1/9/2018,2,Apple,1900,1270,Fortaleza,3800,1260
311,HL1008,1/9/2018,2,Philco,2000,1180,São Paulo,4000,1640
312,HL1015,1/9/2018,1,Sony,700,360,Campinas,700,340
313,HL1001,1/9/2018,1,LG,2600,1350,Curitiba,2600,1250
314,HL1018,1/9/2018,5,Xiaomi,1200,760,Recife,6000,2200
315,HL1015,1/10/2018,5,Sony,700,390,Belo Horizonte,3500,1550
316,HL1018,1/10/2018,4,Xiaomi,1200,520,Campinas,4800,2720
317,HL1015,1/10/2018,2,Sony,700,480,Porto Alegre,1400,440
318,HL1023,1/10/2018,4,Samsung,1500,900,Curitiba,6000,2400
319,HL1009,1/10/2018,3,Motorola,1400,910,São Paulo,4200,1470
320,HL1021,1/10/2018,5,Samsung,3000,1680,São Paulo,15000,6600
321,HL1023,1/10/2018,2,Samsung,1500,660,Rio de Janeiro,3000,1680
322,HL1012,1/10/2018,2,Dell,5500,3300,São Paulo,11000,4400
323,HL1015,1/10/2018,5,Sony,700,370,Recife,3500,1650
324,HL1007,1/10/2018,4,Dell,2300,1220,Salvador,9200,4320
325,HL1013,1/10/2018,5,Nikon,1550,780,Recife,7750,3850
326,HL1015,1/10/2018,3,Sony,700,280,Belo Horizonte,2100,1260
327,HL1017,1/10/2018,5,Samsung,5200,2550,Salvador,26000,13250
328,HL1001,1/10/2018,1,LG,2600,1350,São Paulo,2600,1250
329,HL1005,1/10/2018,3,Canon,1500,770,Guarulhos,4500,2190
330,HL1020,1/10/2018,2,Motorola,1500,710,Recife,3000,1580
331,HL1015,1/10/2018,1,Sony,700,300,São Paulo,700,400
332,HL1005,1/10/2018,1,Canon,1500,920,São Paulo,1500,580
333,HL1018,1/10/2018,5,Xiaomi,1200,580,Goiânia,6000,3100
334,HL1004,1/10/2018,3,Apple,1750,1140,São Paulo,5250,1830
335,HL1008,1/10/2018,1,Philco,2000,820,São Paulo,2000,1180
336,HL1010,1/10/2018,1,Apple,1900,1240,Curitiba,1900,660
337,HL1023,1/10/2018,1,Samsung,1500,800,Rio de Janeiro,1500,700
338,HL1013,1/10/2018,4,Nikon,1550,1070,Salvador,6200,1920
339,HL1007,1/10/2018,2,Dell,2300,1360,São Paulo,4600,1880
340,HL1001,1/10/2018,1,LG,2600,1740,Rio de Janeiro,2600,860
341,HL1015,1/10/2018,1,Sony,700,410,Nova Iguaçu,700,290
342,HL1005,1/10/2018,1,Canon,1500,650,Rio de Janeiro,1500,850
343,HL1018,1/10/2018,1,Xiaomi,1200,670,Recife,1200,530
344,HL1007,1/11/2018,4,Dell,2300,1270,Campinas,9200,4120
345,HL1002,1/11/2018,5,Apple,2500,1050,São Paulo,12500,7250
346,HL1015,1/11/2018,2,Sony,700,410,Curitiba,1400,580
347,HL1007,1/11/2018,1,Dell,2300,1240,São Paulo,2300,1060
348,HL1018,1/11/2018,1,Xiaomi,1200,640,Fortaleza,1200,560
349,HL1007,1/11/2018,5,Dell,2300,1080,Curitiba,11500,6100
350,HL1001,1/11/2018,4,LG,2600,1070,São Paulo,10400,6120
351,HL1008,1/11/2018,3,Philco,2000,920,Belo Horizonte,6000,3240
352,HL1009,1/11/2018,3,Motorola,1400,700,Fortaleza,4200,2100
353,HL1007,1/11/2018,4,Dell,2300,1010,São Paulo,9200,5160
354,HL1001,1/11/2018,3,LG,2600,1530,Recife,7800,3210
355,HL1013,1/11/2018,3,Nikon,1550,760,São Paulo,4650,2370
356,HL1013,1/11/2018,4,Nikon,1550,810,Fortaleza,6200,2960
357,HL1001,1/11/2018,2,LG,2600,1380,Rio de Janeiro,5200,2440
358,HL1024,1/11/2018,5,Acer,2400,1180,São Paulo,12000,6100
359,HL1001,1/11/2018,4,LG,2600,1250,São Paulo,10400,5400
360,HL1007,1/11/2018,2,Dell,2300,970,Belo Horizonte,4600,2660
361,HL1012,1/11/2018,4,Dell,5500,2750,Fortaleza,22000,11000
362,HL1024,1/11/2018,5,Acer,2400,1180,Rio de Janeiro,12000,6100
363,HL1021,1/11/2018,5,Samsung,3000,1380,Belo Horizonte,15000,8100
364,HL1007,1/11/2018,1,Dell,2300,1080,Nova Iguaçu,2300,1220
